Alm. Brand
Amagerbanken
Amtssparekassen Fyn 
Arbejdernes Landsbank
BG Bank
Bonusbanken
Borbjerg Sparekasse 
Broager Spare- og Laanekasse 
Danske Bank
Den jyske Sparekasse
Djurslands Bank
Egnsbank Fyn
Fanø Spare- og Laanekasse
Faster Andelskasse
Flemløse Sparekasse
Forstædernes Bank
Frøslev-Mollerup Sparekasse
Fælleskassen
GrønlandsBanken
Haandværkerbanken
Hadsten Bank
Handelsbanken
Jyske Bank
Københavns Andelskasse
Lollands Bank 
Lån & Spar Bank
Midtbank
Morsø Bank
Morsø Sparekasse
Nordea
Nordjyske Bank
Nykredit
Nørresundby Bank
Ringkjøbing Bank
Ringkjøbing Landbobank
Roskilde Bank
Salling Bank
Sammenslutningen Danske Andelskasser
Slagelse Sparekasse
Spar Nord
Sparekassen Hammel
Sparekassen Himmerland
Sparekassen Hobro
Sparekassen Lolland
Sparekassen Midt Vest
Sparekassen Ravsted
Sparekassen Sjælland
Sparekassen Thy
Sydbank
Thisted Bank
Vestfyns Bank
Vestjysk Bank
Vinderup Bank
Vivild og Omegns Sparekasse
Vorbasse-Hejnsvig Sparekasse
Vordingborg Bank
Østjydsk Bank
