"academy sports"	"Academy Sports"	"Leisure:Sporting Goods"
"ace hardware"	"ACE"	"Household"
"ach deposit"	"ACH Deposit"	"Investment Income"
"acme markets"	"ACME"	"Food:Groceries"
"adt security services"	"ADT"	"Bills:Services"
"advance auto"	"Advance AutoParts"	"Automobile"
"airtouch cellular"	"AirTouch"	"Bills:Wireless"
"alamo rent a car"	"Alamo"	"Vacation:Travel"
"alaska air"	"Alaska Airlines"	"Vacation:Travel"
"albertson s"	"Albertson's"	"Food:Groceries"
"albertson"	"Albertson's"	"Food:Groceries"
"albertsons"	"Albertson's"	"Food:Groceries"
"allstate motor club"	"Allstate"	"Insurance:Automobile"
"allstate"	"Allstate"	"Insurance:Automobile"
"amazon com"	"Amazon"	"Household"
"amazon"	"Amazon"	"Household"
"amc"	"AMC"	"Leisure:Cultural Events"
"america s tire"	"American Tire"	"Automobile"
"america west"	"America West Airlines"	"Vacation:Travel"
"american air"	"American Airlines"	"Vacation:Travel"
"american express collection"	"American Express"	"Bank:Charges"
"american express elec remit"	"American Express"	"Bank:Charges"
"american express online pmt"	"American Express"	"Bills:Credit Card Payment"
"american express payroll"	"American Express"	"Wages and Salary"
"american express settlement"	"American Express"	"Bank:Charges"
"american family"	"American Family"	"Insurance"
"amerisuites"	"AmeriSuites"	"Vacation:Lodging"
"ames dept stor"	"Ames"	"Household"
"amoco"	"Amoco"	"Automobile:Gasoline"
"ampco parking"	"Amoco"	"Automobile"
"ampco system parking"	"Amoco"	"Automobile"
"amtrak"	"AMTRAK"	"Vacation:Travel"
"ann taylor"	"Ann Taylor"	"Clothing"
"annual membership fee"	"annual membership fee"	"Bills"
"aol online"	"AOL"	"Bills:Internet Service"
"applebee"	"Applebee's"	"Food:Dining out"
"arco"	"Arco"	"Automobile:Gasoline"
"at albertsons"	"Albertsons"	"Food:Groceries"
"at arco"	"Arco"	"Automobile:Gasoline"
"at fred meyer"	"FredMeyer"	"Food:Groceries"
"at hollywood vide"	"Hollywood Video"	"Leisure:Movies and Video Rentals"
"at home depot"	"Home Depot"	"Household"
"at kroger"	"Kroger"	"Food:Groceries"
"at meijer inc"	"Meijer"	"Household"
"at quality food cen"	"QFC"	"Food:Groceries"
"at quizno s"	"Quiznos"	"Food:Dining out"
"at safeway store"	"Safeway"	"Food:Groceries"
"at shell no"	"Shell"	"Automobile:Gasoline"
"at starbucks"	"Starbucks"	"Food:Dining out"
"at supercuts"	"Supercuts"	"Personal Care"
"at t cable"	"AT&T"	"Bills:Cable Television"
"at t call"	"AT&T"	"Bills:Telephone"
"at t directory asst"	"AT&T"	"Bills:Telephone"
"at t home"	"AT&T"	"Bills:Telephone"
"at t long dis"	"AT&T"	"Bills:Telephone"
"at t univ online pmt"	"AT&T"	"Bills:Internet Service"
"at t wireless"	"AT&T"	"Bills:Wireless"
"at t worldnet"	"AT&T"	"Bills:Internet Service"
"at t ws"	"AT&T"	"Bills:Internet Service"
"at target"	"Target"	"Household"
"at texaco"	"Texaco"	"Automobile:Gasoline"
"at wal mart"	"Walmart"	"Household"
"at walgreen"	"Walgreen"	"Healthcare"
"atlanta bread"	"Atlanta BREAD"	"Food:Groceries"
"atm alert bal inq"	"ATM"	"Bank Charges:Service charge"
"atm alert fee"	"ATM"	"Bank Charges:Service charge"
"atm bal inquiry fee"	"ATM"	"Bank Charges:Service charge"
"atm balance inquiry"	"ATM"	"Bank Charges:Service charge"
"atm cash advance fee"	"ATM"	"Bank Charges:Service charge"
"atm cash advance"	"ATM"	"Cash Withdrawal"
"atm cash w d"	"ATM"	"Cash Withdrawal"
"atm cash withdrawal"	"ATM"	"Cash Withdrawal"
"atm charge"	"ATM"	"Bank Charges:Service charge"
"atm cir"	"ATM"	"Bank Charges:Service charge"
"atm ckg deposit"	"ATM"	"Cash Deposit"
"atm ckg w d"	"ATM"	"Cash Withdrawal"
"atm credit adj"	"ATM"	"Bank Charges:Service charge"
"atm credit"	"ATM"	"Cash Deposit"
"atm debit"	"ATM"	"Cash Withdrawal"
"atm dep"	"ATM"	"Cash Deposit"
"atm deposit"	"ATM"	"Cash Deposit"
"atm fee pos"	"ATM"	"Bank Charges:Service charge"
"atm fee"	"ATM"	"Bank Charges:Service charge"
"atm int netwk withdrawal"	"ATM"	"Cash Withdrawal"
"atm key"	"ATM"	"Cash Withdrawal"
"atm lobby deposit"	"ATM"	"Cash Deposit"
"atm mac"	"ATM"	"Cash Withdrawal"
"atm mac activity fee"	"ATM"	"Bank Charges:Service charge"
"atm mac inquiry fee"	"ATM"	"Bank Charges:Service charge"
"atm netwk balance inquiry"	"ATM"	"Bank Charges:Service charge"
"atm netwk inquiry"	"ATM"	"Bank Charges:Service charge"
"atm netwk withdrawal"	"ATM"	"Cash Withdrawal"
"atm network bal inquiry fee"	"ATM"	"Bank Charges:Service charge"
"atm network fee"	"ATM"	"Bank Charges:Service charge"
"atm network transaction fee"	"ATM"	"Bank Charges:Service charge"
"atm non local w d"	"ATM"	"Cash Withdrawal"
"atm nyc"	"ATM"	"Cash Withdrawal"
"atm payment"	"ATM"	"Cash Withdrawal"
"atm plus activity fee"	"ATM"	"Bank Charges:Service charge"
"atm plus inquiry fee"	"ATM"	"Bank Charges:Service charge"
"atm pos withdrawal"	"ATM"	"Cash Withdrawal"
"atm purchase"	"ATM"	"Cash Withdrawal"
"atm stamp purchase fee"	"ATM"	"Bank Charges:Service charge"
"atm statement fee"	"ATM"	"Bank Charges:Service charge"
"atm surcharge rebate"	"ATM"	"Bank Charges:Service charge"
"atm surcharge reimbursement"	"ATM"	"Bank Charges:Service charge"
"atm transfer"	"ATM"	"Bills:Credit Card Payment"
"atm trsfr"	"ATM"	"Bills:Credit Card Payment"
"atm usage credit"	"ATM"	"Bills:Credit Card Payment"
"atm usage fee"	"ATM"	"Bank Charges:Service charge"
"atm w d"	"ATM"	"Cash Withdrawal"
"atm wdl"	"ATM"	"Cash Withdrawal"
"atm withdr"	"ATM"	"Cash Withdrawal"
"atm withdrawal crg"	"ATM"	"Cash Withdrawal"
"atm withdrawal"	"ATM"	"Cash Withdrawal"
"atm withdrawl"	"ATM"	"Cash Withdrawal"
"atm wth"	"ATM"	"Cash Withdrawal"
"atm xfer"	"ATM"	"Bills:Credit Card Payment"
"att at t servs"	"AT&T"	"Bills:Telephone"
"att des at t servs"	"AT&T"	"Bills:Telephone"
"auto barn"	"Auto Barn"	"Automobile:Maintenance"
"auto zone"	"AutoZone"	"Automobile:Maintenance"
"autozone"	"AutoZone"	"Automobile:Maintenance"
"avis"	"AVIS"	"Vacation:Travel"
"b dalton"	"B. Dalton"	"Leisure:Books and Magazines"
"b of a withdrwl"	"Bank of America"	"Cash Withdrawal"
"babies r us"	"Babies r Us"	"Leisure:Toys and Games"
"baja fresh"	"Baja Fresh"	"Food:Dining out"
"balance transfer"	"Bank"	"Bank Charges"
"bally total fitness"	"Bally"	"Leisure:Sporting Events"
"banana republic"	"Banana Republic"	"Clothing"
"bank one atm"	"Bank1One"	"Cash Withdrawal"
"bankofamerica atm bal inq"	"Bank of America"	"Bank Charges:Service charge"
